Year,Artist,Title,Lyrics,Album,
2006,Tom Petty,Night Driver,"There's a shadow on the moon tonight
I swear I see your face
Up there with the satellites
Lookin' down from outer space
Me I'm drifting home again
Headlights in my eyes
Fighting sleep with windows down
Worn out from long goodbyes
Night driver
Drifting home again
You offered up no history
When you blew into town
You remain a mystery
No information found
I speed dial a judgment call
A near miss hits the ground
The new king hides behind the throne
Refusing to be crowned
Night driver
Drifting home again
High tide rumbles PCH
My tires losing tread
Helicopter circling
White beam overhead
Now I sit and count the days
And try to fill my time
There's a shadow on the moon tonight
A dollar gets a dime
Night driver
Drifting home again
Home again",Highway Companion,
2006,Tom Petty,Saving Grace,"In the middle of his life
He left his wife
And ran off to be bad
Boy, it was sad
But he bought a new car
Found a new bar
And went under another name
Created a whole new game
And the days went by like paper in the wind
Everything changed, then changed again
It's hard to find a friend
It's hard to find a friend
Meanwhile then
His wife's boyfriend moved in and
Took over the house
Everybody was quiet as a mouse
And it changed their lives
Changed their plans
Slowly they grew apart
Boy, it woulda broke your heart
And the days went by like paper in the wind
Everything changed, then changed again
It's hard to find a friend
It's hard to find a friend",Highway Companion,
2006,Tom Petty,Square One,"In the middle of his life
He left his wife
And ran off to be bad
Boy, it was sad
But he bought a new car
Found a new bar
And went under another name
Created a whole new game
And the days went by like paper in the wind
Everything changed, then changed again
It's hard to find a friend
It's hard to find a friend
Meanwhile then
His wife's boyfriend moved in and
Took over the house
Everybody was quiet as a mouse
And it changed their lives
Changed their plans
Slowly they grew apart
Boy, it woulda broke your heart
And the days went by like paper in the wind
Everything changed, then changed again
It's hard to find a friend
It's hard to find a friend",Highway Companion,
2006,Tom Petty,Flirting with Time,"A coyote ran across the road
On the move without a home
A flash of light reminded me of you
This could well be your last stand
Hold the sunlight in your hand
Spread your fingers
Feel the sand fall through
I've done all I can do, now it's up to you...
You're flirting with time baby
Flirting with time, and maybe
Time, baby, is catching up with you
Shadow men talk a real good game
Every punch line has your name
You cried out and no one came to you
I've done all I can do, now it's up to you...
You're flirting with time baby
Flirting with time, and maybe
Time, baby, is catching up with you
Should be more to learn from this
Can't say I know what it is
No difference 'tween a hit or miss, it's true
I've done all I can do, now it's up to you...
You're flirting with time baby
Flirting with time, and maybe
Time, baby, is catching up with you",Highway Companion,
2006,Tom Petty,Down South,"Headed back down south
Gonna see my daddy's mistress
Gonna buy back her forgiveness
Pay off every witness
One more time down south
Sell the family headstones
Drag a bag of dry bones
Make good on my back loans
So if I come to your door
Let me sleep on your floor
I'll give you all I have
And a little more
Sleep late down south
Look up my former mentors
Live off Yankee winters
Be a landlord and a renter
Create myself down south
Impress all the women
Pretend I'm Samuel Clemens
Wear seersucker and white linens
So if I come to your door
Let me sleep on your floor
I'll give you all I have
And a little more
Spanish moss down south
Find the heroes of my childhood
Who now can do me no good
Carve their names in dogwood
Chase a ghost down south
Spirits cross the dead fields
Mosquitoes hit the windshield
All documents remain sealed
So if I come to your door
Let me sleep on your floor
I'll give you all I have
And a little more
I'll give you all I have
And a little more",Highway Companion,
2006,Tom Petty,Jack,"You say what you want to Jack
I'm gonna get my baby back
Trouble came ran away
Now you say she's gone to stay
Got fed up, hit the street
Left without a word to me
Oh you don't know
How the girl could touch my soul
You say what you want to Jack
I'm gonna get my baby back
Suddenly you know my name
Say there's only me to blame
It's gonna rain, it's gonna shine
Gotta stay between the lines
Rolling down a lonely road
You say I should let it go
Wish you would come on down
If you need I'll come around
You say what you want to Jack
I'm gonna get my baby back
Used to have a son named Joe
Where he got to I don't know
Maybe down in Mexico
Livin' off her daddy's dough
If you give me half a chance
I will make her sing and dance
I'm gonna give her all my soul
I'm gonna play her rock and roll
You say what you want to Jack
I'm gonna get my baby back",Highway Companion,
2006,Tom Petty,Big Weekend,"There's some friends that I know
Living in this town
And I've come far to see them
Gonna track 'em down
They live in a brick house
Painted white and brown
Left a tip for the maid
And I packed up my guitar
Dropped my keys on the counter
Rented a car
Gonna hook up with 'em later
And go hit the bars
I need a big weekend
Kick up the dust
Yeah a big weekend
If you don't run you rust
Well I may shake your hand
But I won't know your name
The joke in your language
Don't come out the same
There's times when I'm down
And there's nothing to blame
I need a big weekend
Kick up the dust
Yeah a big weekend
If you don't run you rust
I can work
I can travel
Sleep anywhere
Cross every border
With nothing to declare
You can look back babe
But it's best not to stare
I need a big weekend
Kick up the dust
Yeah a big weekend
If you don't run you rust",Highway Companion,
2006,Tom Petty,This Old Town,"Living free
Is gaining on me
Can't keep ahead of my dreams
My relief turned out a thief
Smooth as rocks in the stream
This old town is a sad affair
You be glad you're not there
It ties your hands
It spikes your drink
I'd say more, but I can't think
Lazy Jim took a bottle with him
Tried to flag down a train
Left a note couldn't read what he wrote
A light came on in my brain
This old town is a sad affair
You be glad you're not there
It ties your hands
It spikes your drink
I'd say more, but I can't think
The hills are gold
Mornings are cold
Don't know a soul on the street
I keep to myself
Like everyone else
Nobody says much to me
Go to bed
Fight thoughts in my head
In the time between wake and sleep
Rats to kill
Contracts to fill
It's on ice but it won't keep
This old town is a sad affair
You be glad you're not there
It ties your hands
It spikes your drink
I'd say more, but I can't think",Highway Companion,
2006,Tom Petty,Ankle Deep,"Yeah they raised that horse to be a jumper
He was owned by a Midwest bible thumper
His preacher was a Louisiana drummer
Took all winter to get through the summer
The field hand hit the switch and stumbled
Outside the big engine roared and rumbled
The stolen horse spooked and tumbled
She didn't speak for a week, just kinda mumbled
Ankle deep
In love
Ankle deep
In love
He was caught up
In a lie he half believed
Found her hiding
High in the family tree
Washed his hands
And put her 'cross his knee
She said ""Daddy, you've been a mother to me""
Ankle deep
In love
Ankle deep
In love",Highway Companion,
2006,Tom Petty,The Golden Rose,"Well the golden rose sailed with a broken man goin' south
Got on board with a woman to lead him 'round by the mouth
And it's goodbye golden rose
Yeah it's goodbye golden rose
Well the captain who swears if he speaks it all, wears a gun
Got a first mate who's never quite on the ball for a son
And it's goodbye golden rose
Yeah it's goodbye golden rose
Wish I was back in her arms again
Wish I was holding her tight
Wish I was back in her arms again
Safe from the night
She stood on the shore and she waved to me, ""Come back home""
Many a night I would think of her all alone
And it's goodbye golden rose
Yeah it's goodbye golden rose",Highway Companion,
